loom,date,product,qty_m
#303,2026-06-01,NW44493N,100
#304,2026-06-03,PH555120,50
#304,2026-06-05,PH555120,555
#305,2026-06-10,PH54512B,600
#305,2026-06-11,PH54512B,600
#305,2026-06-12,PH54512B,450
#306,2026-06-10,PH54512B,800
#306,2026-06-12,PH54512B,820
#306,2026-06-14,PH54512B,1100
#306,2026-06-16,PH54512B,505
#306,2026-06-18,PH54512B,700
#306,2026-06-22,PH54512B,700
#306,2026-06-24,PH54512B,700
#306,2026-06-26,PH54512B,700
#306,2026-06-28,PH54512B,700
#401,2026-06-03,NW445340,50
#401,2026-06-09,NW445340,500
#403,2026-06-11,PH44553M,800
#403,2026-06-14,PH44553M,1010
#403,2026-06-16,PH44553M,1010
#403,2026-06-18,PH44553M,1010
#403,2026-06-24,PH44553M,1010
#403,2026-06-27,PH44553M,1010
#403,2026-06-29,PH44553M,1010
#406,2026-06-04,PH55463N,100
#406,2026-06-09,PH55463N,854
#503,2026-06-01,PH54513N,150
#504,2026-06-05,PH44513C,663
#504,2026-06-10,PH44513C,1000
#504,2026-06-12,PH44513C,1010
#504,2026-06-15,PH44513C,1100
#504,2026-06-17,PH44513C,630
#504,2026-06-23,PH44513C,1010
#504,2026-06-25,PH44513C,1010
#504,2026-06-28,PH44513C,1010
#504,2026-06-30,PH44513C,1010
#505,2026-06-16,PH54512B,700
#505,2026-06-18,PH54512B,700
#505,2026-06-23,PH54512B,700
#505,2026-06-24,PH54512B,700
#505,2026-06-26,PH54512B,700
#505,2026-06-28,PH54512B,700
#505,2026-06-30,PH54512B,700
#506,2026-06-09,PH54512B,577
#506,2026-06-11,PH54512B,600
