loom,status,product,capacity,width,yarn,forecast_month,diff
#301,AB,N73413N,400,,,,
#302,YFSS,NW44463N,400,2300,ZSCA,,
#303,,NW44493N,400,2350,ZSCA,,
#304,AB,PH555120,400,,LS7056AB,,
#305,TG 爬坡,PH54512B,400,2200,LS7056AB,,
#306,TG 爬坡,PH54512B,400,2200,LS7056AB,21000,2048
#401,YFSS 量产,NW445340,400,2400,ZSCA,,
#402,,NW73413N,400,,ZHMA,,
#403,YFSS 量产,PH44553M,400,2350,LS7046AB,7000,449
#404,,NW345920,400,0,ZSBA,,
#405,AB开发用,PH555120,400,,LS7056AB,,
#406,AB,PH55463N,400,2350,LS7056AB,,
#501,YFSS 量产,PH54462M,400,2250,LS7056AB,,
#502,YFSS 量产,PH545140,400,2400,LS7056AB,,
#503,YFSS 量产,PH54513N,400,,LS7056AB,,
#504,YFSS 量产,PH44513C,400,2350,LS7046AB,7000,1687
#505,YFSS 量产,PH54512B,400,2200,LS7056AB,,
#506,TG 爬坡,PH54512B,400,2200,LS7056AB,,
#601,YFSS,NW44493C,400,,ZSCA,,
#602,YFSS,PH54462M,400,2250,LS7056AB,,
#603,YFSS,PH545140,400,2400,LS7056AB,,
#604,NULL,PH83412N,400,,LS7078AB,,
#605,,NW73413N,400,,ZHMA,,
#606,AB,PH545320,400,,LS7056AB,,
#701,未安排,,,,,,
#702,NULL,,,,,,
#703,未安排,,,,,,
#704,未安排,,,,,,
#705,未安排,,,,,,
#706,未安排,,,,,,
