product,customer_product,beam_product,customer,stage,yarn,warp_length,weaving_rate,wash_speed,coat_speed,insp_speed,width,consumption
PH555120,,PH555120,AB,PV??,LS7056AB,3600,400,30,20,25,2.25,0.25
NW44463N,,NW44463N,AB,PV??,ZSCA,3600,400,30,20,25,2.35,0.25
NW44493N,,NW44493N,AB,PV??,ZSCA,3600,400,30,20,25,2.35,0.25
PH54512B,68616-0000Z,PH54512B,TG,SOP,LS7056AB,4830,400,30,20,25,2.2,0.25
PH54462M,Y1362828-02,PH54462M,YFSS,SOP,LS7056AB,4830,400,30,20,25,2.25,0.25
NW445340,6109499,NW445340,YFSS,PV??,ZSCA,3600,400,30,20,25,2.4,0.25
PH44553M,Y0558881,PH44553M,YFSS,SOP,LS7046AB,4200,400,30,20,25,2.35,0.25
NW345920,4-68617-00000,NW345920,TG,PV??,ZSBA,4800,400,30,20,25,2.2,0.25
PH55463N,,PH55463N,AB,PV??,LS7056AB,4800,400,30,20,25,2.35,0.25
PH555140,6281674,PH555140,AB,PV??,LS7056AB,4800,400,30,20,25,2.35,0.25
PH54513N,,PH54513N,AB,PV??,LS7056AB,4800,400,30,20,25,2.35,0.25
PH44513C,Y0769728,PH44513C,YFSS&AB,SOP,LS7046AB,4500,400,30,20,25,2.35,0.25
NW44493C,6041210,NW44493C,AB,PV??,ZSCA,4200,400,30,20,25,2.35,0.25
PH545140,Y0471441,PH545140,YFSS,暂停,LS7056AB,4600,400,30,20,25,2.4,0.25
PH83412N,,PH83412N,AB,PV??,LS7078AB,4200,400,30,20,25,2,0.25
NW73413N,,NW73413N,AB,PV??,ZHMA,4200,400,30,20,25,2.35,0.25
PH545320,,PH545320,AB,PV??,LS7056AB,4200,400,30,20,25,2.15,0.25
PH54513L,Y1430821,PH54513L,YFSS,SOP,LS7056AB,4200,400,30,20,25,2.35,0.25
PH54463M,Y1362828-01,PH54463M,YFSS,SOP,LS7056AB,4500,400,30,20,25,2.35,0.25
