loom,date,output_m
#301,2026-06-03,3
#303,2026-06-01,111
#303,2026-06-02,5
#303,2026-06-04,4
#304,2026-06-03,58
#304,2026-06-04,235
#304,2026-06-05,325
#305,2026-06-02,6
#305,2026-06-08,86
#305,2026-06-09,363
#305,2026-06-10,419
#305,2026-06-11,436
#305,2026-06-12,340
#305,2026-06-13,400
#305,2026-06-14,140
#306,2026-06-03,6
#306,2026-06-08,237
#306,2026-06-09,424
#306,2026-06-10,437
#306,2026-06-11,421
#306,2026-06-12,435
#306,2026-06-13,400
#306,2026-06-14,400
#306,2026-06-15,400
#306,2026-06-16,265
#306,2026-06-17,400
#306,2026-06-18,400
#306,2026-06-22,400
#306,2026-06-23,400
#306,2026-06-24,400
#306,2026-06-25,400
#306,2026-06-26,400
#306,2026-06-27,400
#306,2026-06-28,400
#306,2026-06-29,400
#306,2026-06-30,400
#401,2026-06-03,56
#401,2026-06-08,265
#401,2026-06-09,235
#401,2026-06-10,387
#402,2026-06-02,10
#403,2026-06-09,197
#403,2026-06-10,393
#403,2026-06-11,429
#403,2026-06-12,430
#403,2026-06-13,400
#403,2026-06-14,400
#403,2026-06-15,400
#403,2026-06-16,400
#403,2026-06-17,400
#403,2026-06-18,400
#403,2026-06-22,400
#403,2026-06-23,400
#403,2026-06-24,400
#403,2026-06-25,400
#403,2026-06-26,400
#403,2026-06-27,400
#403,2026-06-28,400
#403,2026-06-29,400
#403,2026-06-30,400
#405,2026-05-26,428
#405,2026-05-27,453
#405,2026-05-28,60
#406,2026-06-03,8
#406,2026-06-04,100
#406,2026-06-08,399
#406,2026-06-09,454
#406,2026-06-10,13
#503,2026-06-01,156
#503,2026-06-03,19
#503,2026-06-12,330
#504,2026-06-03,222
#504,2026-06-04,412
#504,2026-06-05,151
#504,2026-06-08,403
#504,2026-06-09,450
#504,2026-06-10,461
#504,2026-06-11,461
#504,2026-06-12,227
#504,2026-06-13,400
#504,2026-06-14,400
#504,2026-06-15,400
#504,2026-06-16,400
#504,2026-06-17,300
#504,2026-06-18,400
#504,2026-06-22,400
#504,2026-06-23,400
#504,2026-06-24,400
#504,2026-06-25,400
#504,2026-06-26,400
#504,2026-06-27,400
#504,2026-06-28,400
#504,2026-06-29,400
#504,2026-06-30,400
#505,2026-06-09,93
#505,2026-06-15,400
#505,2026-06-16,400
#505,2026-06-17,400
#505,2026-06-18,400
#505,2026-06-22,400
#505,2026-06-23,400
#505,2026-06-24,400
#505,2026-06-25,400
#505,2026-06-26,400
#505,2026-06-27,400
#505,2026-06-28,400
#505,2026-06-29,400
#505,2026-06-30,400
#506,2026-06-03,5
#506,2026-06-08,302
#506,2026-06-09,273
#506,2026-06-10,298
#506,2026-06-11,435
#506,2026-06-12,427
#506,2026-06-13,400
#506,2026-06-14,400
#506,2026-06-15,400
#506,2026-06-16,400
#506,2026-06-17,400
#506,2026-06-18,400
#506,2026-06-22,400
#506,2026-06-23,400
#506,2026-06-24,400
#506,2026-06-25,400
#506,2026-06-26,400
#506,2026-06-27,400
#506,2026-06-28,400
#506,2026-06-29,400
#506,2026-06-30,400
