客户款号,产品款号,经轴款号,客户,目前阶段,使用纱线,整经设定长度_米,织造效率_米/天,有效门幅_米
,PH555120,PH555120,AB,PV??,LS7056AB,3600.0,400.0,2.25
,NW44463N,NW44463N,AB,PV??,ZSCA,3600.0,400.0,2.35
,NW44493N,NW44493N,AB,PV??,ZSCA,3600.0,400.0,2.35
68616-0000Z,PH54512B,PH54512B,TG,SOP,LS7056AB,4830.0,400.0,2.2
Y1362828-02,PH54462M,PH54462M,YFSS,SOP,LS7056AB,4830.0,400.0,2.25
6109499,NW445340,NW445340,YFSS,PV??,ZSCA,3600.0,400.0,2.4
Y0558881,PH44553M,PH44553M,YFSS,SOP,LS7046AB,4200.0,400.0,2.35
4-68617-00000,NW345920,NW345920,TG,PV??,ZSBA,4800.0,400.0,2.2
,PH55463N,PH55463N,AB,PV??,LS7056AB,4800.0,400.0,2.35
6281674,PH555140,PH555140,AB,PV??,LS7056AB,4800.0,400.0,2.35
,PH54513N,PH54513N,AB,PV??,LS7056AB,4800.0,400.0,2.35
Y0769728,PH44513C,PH44513C,YFSS&AB,SOP,LS7046AB,4500.0,400.0,2.35
6041210,NW44493C,NW44493C,AB,PV??,ZSCA,4200.0,400.0,2.35
Y0471441,PH545140,PH545140,YFSS,暂停,LS7056AB,4600.0,400.0,2.4
,PH83412N,PH83412N,AB,PV??,LS7078AB,4200.0,400.0,2.0
,NW73413N,NW73413N,AB,PV??,ZHMA,4200.0,400.0,2.35
,PH545320,PH545320,AB,PV??,LS7056AB,4200.0,400.0,2.15
Y1430821,PH54513L,PH54513L,YFSS,SOP,LS7056AB,4200.0,400.0,2.35
Y1362828-01,PH54463M,PH54463M,YFSS,SOP,LS7056AB,4500.0,400.0,2.35
